,Gene ID,Flag,bool(Flag),date
2,BBF10K_000170,,False,2018-05-30
3,BBF10K_000189,,False,2018-05-30
4,BBF10K_000202,,False,2018-05-30
5,BBF10K_000224,,False,2018-05-30
6,BBF10K_000279,,False,2018-05-30
7,BBF10K_000438,,False,2018-05-30
8,BBF10K_000440,RESTRICTED,True,2018-05-30
9,BBF10K_000451,RESTRICTED,True,2018-05-30
10,BBF10K_000455,RESTRICTED,True,2018-05-30
11,BBF10K_000457,RESTRICTED,True,2018-05-30
12,BBF10K_000459,,False,2018-05-30
13,BBF10K_000465,,False,2018-05-30
14,BBF10K_000466,,False,2018-05-30
15,BBF10K_000474,,False,2018-05-30
16,BBF10K_000479,,False,2018-05-30
17,BBF10K_000513,,False,2018-05-30
18,BBF10K_000550,,False,2018-05-30
19,BBF10K_000560,,False,2018-05-30
20,BBF10K_000562,RESTRICTED,True,2018-05-30
21,BBF10K_000563,RESTRICTED,True,2018-05-30
22,BBF10K_000564,RESTRICTED,True,2018-05-30
23,BBF10K_000565,RESTRICTED,True,2018-05-30
24,BBF10K_000566,RESTRICTED,True,2018-05-30
25,BBF10K_000567,RESTRICTED,True,2018-05-30
26,BBF10K_000568,RESTRICTED,True,2018-05-30
27,BBF10K_000569,RESTRICTED,True,2018-05-30
28,BBF10K_000570,RESTRICTED,True,2018-05-30
29,BBF10K_000571,RESTRICTED,True,2018-05-30
30,BBF10K_000572,RESTRICTED,True,2018-05-30
31,BBF10K_000573,,False,2018-05-30
32,BBF10K_000574,,False,2018-05-30
33,BBF10K_000575,RESTRICTED,True,2018-05-30
34,BBF10K_000576,RESTRICTED,True,2018-05-30
35,BBF10K_000577,RESTRICTED,True,2018-05-30
36,BBF10K_000584,RESTRICTED,True,2018-05-30
37,BBF10K_000585,RESTRICTED,True,2018-05-30
38,BBF10K_000586,,False,2018-05-30
39,BBF10K_000590,RESTRICTED,True,2018-05-30
40,BBF10K_000595,RESTRICTED,True,2018-05-30
41,BBF10K_000603,RESTRICTED,True,2018-05-30
42,BBF10K_000607,,False,2018-05-30
43,BBF10K_000613,,False,2018-05-30
44,BBF10K_000617,,False,2018-05-30
45,BBF10K_000622,,False,2018-05-30
46,BBF10K_000625,RESTRICTED,True,2018-05-30
47,BBF10K_000626,RESTRICTED,True,2018-05-30
48,BBF10K_000630,RESTRICTED,True,2018-05-30
49,BBF10K_000633,RESTRICTED,True,2018-05-30
50,BBF10K_000634,RESTRICTED,True,2018-05-30
51,BBF10K_100000,RESTRICTED,True,2018-05-30
